name,sym,open,close,change,percent,snr
NASDAQ Composite,^IXIC,15646.09,16735.02,1088.93,0.07,0.36
S&P 500,^SPX,5029.03,5277.51,248.48,0.049,0.34
Russell 2000,^RUT,1973.37,2070.13,96.76,0.049,0.24
DAX,^GDAXI,17935.78,18497.94,562.16,0.031,0.22
S&P/TSX Composite,^GSPTSE,21692,22269.12,577.12,0.027,0.14
FTSE 100,^FTSE,8144.1,8275.38,131.28,0.016,0.13
Dow Jones Industrial Average,^DJI,37845.56,38686.32,840.76,0.022,0.1
Hang Seng,^HSI,17760.68,18079.61,318.93,0.018,0.1
Gold,GC=F,2287.7,2350,62.3,0.027,0.1
S&P/ASX 200,^AXJO,7664.1,7701.7,37.6,0.005,0.03
Nikkei 225,^N225,38107.38,38487.9,380.52,0.01,-0
CAC 40,^FCHI,7954.01,7992.87,38.86,0.005,-0.03
NIFTY 50,^NSEI,22567.85,22530.7,-37.15,-0.002,-0.04
SSE Composite,000001.SS,3132.51,3086.81,-45.7,-0.015,-0.06
10 Year Treasury Note Yield,^TNX,4.67,4.51,-0.16,-0.033,-0.19
CBOE Volatility,^VIX,15.75,12.92,-2.83,-0.18,-0.23
US Dollar,DX-Y.NYB,106.32,104.62,-1.7,-0.016,-0.23
Crude Oil,CL=F,81.48,77.23,-4.25,-0.052,-0.41
